iter	Passed	Remaining
605	1356	881
606	1358	879
607	1360	877
608	1362	874
609	1364	872
610	1366	869
611	1368	867
612	1370	865
613	1372	862
614	1374	860
615	1376	857
616	1378	855
617	1380	853
618	1381	850
619	1383	848
620	1385	845
621	1387	843
622	1389	840
623	1391	838
624	1393	836
625	1395	833
626	1397	831
627	1399	828
628	1400	826
629	1402	823
630	1404	821
631	1406	819
632	1408	816
633	1410	814
634	1412	811
635	1414	809
636	1416	807
637	1418	804
638	1420	802
639	1422	799
640	1424	797
641	1425	795
642	1427	792
643	1429	790
644	1431	787
645	1433	785
646	1435	783
647	1437	780
648	1439	778
649	1441	776
650	1443	773
651	1445	771
652	1447	768
653	1448	766
654	1450	764
655	1453	761
656	1455	759
657	1457	757
658	1459	754
659	1460	752
660	1462	750
661	1464	747
662	1466	745
663	1468	743
664	1470	740
665	1472	738
666	1474	736
667	1476	733
668	1478	731
669	1480	729
670	1482	727
671	1484	724
672	1486	722
673	1488	720
674	1490	717
675	1492	715
676	1494	713
677	1496	710
678	1498	708
679	1500	706
680	1502	703
681	1504	701
682	1506	699
683	1508	696
684	1510	694
685	1512	692
686	1514	689
687	1515	687
688	1517	685
689	1520	682
690	1522	680
691	1524	678
692	1526	676
693	1528	673
694	1530	671
695	1532	669
696	1534	667
697	1536	664
698	1538	662
699	1540	660
700	1542	657
701	1544	655
702	1546	653
703	1548	651
704	1550	648
705	1552	646
706	1554	644
707	1556	642
708	1558	639
709	1560	637
710	1562	635
711	1564	633
712	1567	630
713	1569	628
714	1571	626
715	1573	623
716	1575	621
717	1577	619
718	1579	617
719	1581	614
720	1583	612
721	1585	610
722	1587	608
723	1589	605
724	1591	603
725	1593	601
726	1595	599
727	1597	596
728	1599	594
729	1602	592
730	1604	590
731	1606	588
732	1608	585
733	1610	583
734	1612	581
735	1614	579
736	1616	576
737	1618	574
738	1620	572
739	1622	570
740	1624	567
741	1626	565
742	1628	563
743	1630	561
744	1632	558
745	1634	556
746	1636	554
747	1638	551
748	1640	549
749	1641	547
750	1643	545
751	1645	542
752	1647	540
753	1649	538
754	1651	535
755	1653	533
756	1655	531
757	1657	529
758	1659	526
759	1661	524
760	1663	522
761	1665	520
762	1667	517
763	1669	515
764	1670	513
765	1672	511
766	1674	508
767	1676	506
768	1678	504
769	1680	502
770	1682	499
771	1684	497
772	1686	495
773	1688	493
774	1690	490
775	1692	488
776	1694	486
777	1696	484
778	1698	481
779	1700	479
780	1702	477
781	1704	475
782	1706	472
783	1708	470
784	1710	468
785	1712	466
786	1714	463
787	1716	461
788	1717	459
789	1719	457
790	1721	454
791	1723	452
792	1725	450
793	1727	448
794	1729	446
795	1731	443
796	1733	441
797	1735	439
798	1737	437
799	1739	434
800	1741	432
801	1743	430
802	1745	428
803	1747	426
804	1749	423
805	1751	421
806	1753	419
807	1755	417
808	1757	414
809	1759	412
810	1761	410
811	1763	408
812	1765	406
813	1767	403
814	1769	401
815	1771	399
816	1772	397
817	1774	394
818	1776	392
819	1778	390
820	1780	388
821	1782	385
822	1784	383
823	1786	381
824	1788	379
825	1790	377
826	1792	374
827	1794	372
828	1796	370
829	1798	368
830	1800	366
831	1802	363
832	1803	361
833	1805	359
834	1807	357
835	1809	355
836	1811	352
837	1813	350
838	1815	348
839	1817	346
840	1819	343
841	1821	341
842	1823	339
843	1824	337
844	1826	335
845	1828	332
846	1830	330
847	1832	328
848	1834	326
849	1836	324
850	1838	321
851	1840	319
852	1842	317
853	1844	315
854	1846	313
855	1848	310
856	1850	308
857	1852	306
858	1854	304
859	1856	302
860	1858	299
861	1860	297
862	1861	295
863	1863	293
864	1865	291
865	1867	289
866	1869	286
867	1871	284
868	1873	282
869	1875	280
870	1877	278
871	1879	275
872	1881	273
873	1882	271
874	1884	269
875	1886	267
876	1888	264
877	1890	262
878	1892	260
879	1894	258
880	1896	256
881	1898	253
882	1900	251
883	1901	249
884	1903	247
885	1905	245
886	1907	243
887	1909	240
888	1911	238
889	1913	236
890	1915	234
891	1917	232
892	1919	229
893	1921	227
894	1923	225
895	1925	223
896	1926	221
897	1929	219
898	1931	216
899	1932	214
900	1934	212
901	1936	210
902	1938	208
903	1940	206
904	1942	203
905	1944	201
906	1946	199
907	1948	197
908	1950	195
909	1952	193
910	1954	190
911	1956	188
912	1958	186
913	1960	184
914	1962	182
915	1964	180
916	1966	177
917	1967	175
918	1969	173
919	1971	171
920	1973	169
921	1975	167
922	1977	165
923	1979	162
924	1981	160
925	1983	158
926	1985	156
927	1987	154
928	1989	152
929	1991	149
930	1993	147
931	1995	145
932	1997	143
933	1999	141
934	2000	139
935	2002	136
936	2004	134
937	2006	132
938	2008	130
939	2010	128
940	2012	126
941	2014	124
942	2016	121
943	2018	119
944	2020	117
945	2022	115
946	2024	113
947	2026	111
948	2027	108
949	2029	106
950	2031	104
951	2033	102
952	2035	100
953	2037	98
954	2039	96
955	2041	93
956	2043	91
957	2045	89
958	2047	87
959	2049	85
960	2051	83
961	2053	81
962	2054	78
963	2056	76
964	2058	74
965	2060	72
966	2062	70
967	2064	68
968	2066	66
969	2068	63
970	2070	61
971	2072	59
972	2074	57
973	2075	55
974	2077	53
975	2079	51
976	2081	49
977	2083	46
978	2085	44
979	2087	42
980	2089	40
981	2091	38
982	2093	36
983	2094	34
984	2096	31
985	2098	29
986	2100	27
987	2102	25
988	2104	23
989	2106	21
990	2108	19
991	2110	17
992	2112	14
993	2114	12
994	2115	10
995	2117	8
996	2119	6
997	2121	4
998	2123	2
999	2125	0
